Attempt 0, 1000 iterations, Validation accuracy = 0.4
Attempt 1, 1000 iterations, Validation accuracy = 0.42
Attempt 2, 1000 iterations, Validation accuracy = 0.45
Attempt 3, 1000 iterations, Validation accuracy = 0.46
Attempt 4, 1000 iterations, Validation accuracy = 0.39
Attempt 5, 1000 iterations, Validation accuracy = 0.42
Attempt 6, 1000 iterations, Validation accuracy = 0.37
Attempt 7, 1000 iterations, Validation accuracy = 0.44
Attempt 8, 1000 iterations, Validation accuracy = 0.45
Attempt 9, 1000 iterations, Validation accuracy = 0.4
Attempt 10, 1000 iterations, Validation accuracy = 0.46
Attempt 11, 1000 iterations, Validation accuracy = 0.42
Attempt 12, 1000 iterations, Validation accuracy = 0.45
Attempt 13, 1000 iterations, Validation accuracy = 0.39
Attempt 14, 1000 iterations, Validation accuracy = 0.35
Attempt 15, 1000 iterations, Validation accuracy = 0.43
Attempt 16, 1000 iterations, Validation accuracy = 0.36
Attempt 17, 1000 iterations, Validation accuracy = 0.42
Attempt 18, 1000 iterations, Validation accuracy = 0.43
Attempt 19, 1000 iterations, Validation accuracy = 0.4
Attempt 20, 1000 iterations, Validation accuracy = 0.46
Attempt 21, 1000 iterations, Validation accuracy = 0.4
Attempt 22, 1000 iterations, Validation accuracy = 0.49
Attempt 23, 1000 iterations, Validation accuracy = 0.41
Attempt 24, 1000 iterations, Validation accuracy = 0.4
Attempt 25, 1000 iterations, Validation accuracy = 0.4
Attempt 26, 1000 iterations, Validation accuracy = 0.46
Attempt 27, 1000 iterations, Validation accuracy = 0.43
Attempt 28, 1000 iterations, Validation accuracy = 0.37
Attempt 29, 1000 iterations, Validation accuracy = 0.44
Attempt 30, 1000 iterations, Validation accuracy = 0.39
Attempt 31, 1000 iterations, Validation accuracy = 0.38
Attempt 32, 1000 iterations, Validation accuracy = 0.4
Attempt 33, 1000 iterations, Validation accuracy = 0.44
Attempt 34, 1000 iterations, Validation accuracy = 0.42
Attempt 35, 1000 iterations, Validation accuracy = 0.42
Attempt 36, 1000 iterations, Validation accuracy = 0.41
Attempt 37, 1000 iterations, Validation accuracy = 0.33
Attempt 38, 1000 iterations, Validation accuracy = 0.45
Attempt 39, 1000 iterations, Validation accuracy = 0.32
Attempt 40, 1000 iterations, Validation accuracy = 0.32
Attempt 41, 1000 iterations, Validation accuracy = 0.38
Attempt 42, 1000 iterations, Validation accuracy = 0.41
Attempt 43, 1000 iterations, Validation accuracy = 0.4
Attempt 44, 1000 iterations, Validation accuracy = 0.44
Attempt 45, 1000 iterations, Validation accuracy = 0.35
Attempt 46, 1000 iterations, Validation accuracy = 0.47
Attempt 47, 1000 iterations, Validation accuracy = 0.44
Attempt 48, 1000 iterations, Validation accuracy = 0.41
Attempt 49, 1000 iterations, Validation accuracy = 0.48
Attempt 50, 1000 iterations, Validation accuracy = 0.34
Attempt 51, 1000 iterations, Validation accuracy = 0.35
Attempt 52, 1000 iterations, Validation accuracy = 0.37
Attempt 53, 1000 iterations, Validation accuracy = 0.4
Attempt 54, 1000 iterations, Validation accuracy = 0.41
Attempt 55, 1000 iterations, Validation accuracy = 0.35
Attempt 56, 1000 iterations, Validation accuracy = 0.44
Attempt 57, 1000 iterations, Validation accuracy = 0.38
Attempt 58, 1000 iterations, Validation accuracy = 0.4
Attempt 59, 1000 iterations, Validation accuracy = 0.41
